Job Title,Top Skills
Speech Therapist,"forensic accounting fraud detection legal knowledge investigative skills, human resources recruitment employee onboarding hris (hr information systems) record keeping communication skills, clinical nursing specialization (e.g., oncology) advanced nursing skills patient education, critical care, technical documentation technical knowledge writing skills editing user manuals, speech pathology articulation therapy language disorders speech assessment therapy planning communication skills, adult speech therapy speech-language assessment rehabilitation techniques swallowing disorders communication skills, art education curriculum program development teacher training communication skills artistic expertise, artistic skills teaching ability communication skills art history knowledge creativity, technical writing documentation user manuals technical specifications industry-specific terminology research skills, medical diagnosis patient care medical record-keeping communication skills empathy and compassion, employee conflict resolution hr compliance employee engagement communication skills, clinical nursing patient assessment care planning staff development healthcare protocols communication skills problem-solving abilities, pediatric speech therapy speech-language assessment individualized treatment plans child development communication skills, hr policies and procedures employee relations recruitment communication skills"
Interior Designer,"illustrator) layout and composition print production processes color theory and management attention to detail print industry knowledge, adobe indesign, print design software (e.g., knowledge of hvac systems and equipment mechanical engineering skills problem-solving abilities autocad proficiency hvac design and installation expertise, commercial interior design workplace ergonomics building codes and regulations knowledge sustainable design principles autocad and revit proficiency, fixtures, hospitality interior design hotel and restaurant design branding and theme integration ff&e (furniture, and equipment) selection customer experience design, sap2000) building codes and standards project management structural integrity assessment, structural engineering principles structural analysis and design software (e.g., autocad"
Operations Manager,supply chain logistics and management inventory control and procurement supplier relationship management data analysis and forecasting risk assessment and mitigation
Supply Chain Manager,"demand forecasting inventory management data analysis sales and operations planning (s&op) erp software proficiency, sales leadership territory management team management sales data analysis strategic planning and execution"
Java Developer,"react, web application development java web frameworks (e.g., jsp) frontend integration user authentication security protocols code documentation, servlets, angular) dom manipulation ajax debugging and troubleshooting, javascript programming frontend development frontend frameworks (e.g., backend development restful apis database integration java ee (enterprise edition) performance optimization version control (e.g., git), html, css, javascript frontend frameworks (e.g., angular) user experience (ux)"
Digital Marketing Specialist,"social media platforms (e.g., facebook, twitter, instagram) content creation and scheduling social media analytics and insights community engagement paid social advertising"
Marketing Director,digital marketing strategy marketing analytics team leadership content marketing seo and sem proficiency
Marketing Analyst,"data analysis tools (e.g., sql, python) data visualization tools (e.g., tableau, power bi) statistical analysis data cleansing and transformation data modeling communication of data insights problem-solving attention to detail business acumen"
Research Analyst,"market research methodologies data collection and analysis consumer behavior analysis competitor analysis survey design and analysis statistical analysis software (e.g., spss, sas) data visualization trend analysis report writing communication skills attention to detail"
Mechanical Designer,"computer-aided design (cad) software technical drawing blueprint interpretation drafting standards engineering principles collaboration with engineers problem-solving attention to detail communication skills 3d modeling (if applicable), hvac system design load calculations energy efficiency autocad or similar software mechanical engineering principles collaboration with architects and engineers regulatory compliance problem-solving attention to detail communication skills"
HR Coordinator,"training program coordination training material development learning management systems, server-side programming languages (e.g., python) database management api development, java, architectural project management construction documents building systems design coordination client communication, systems engineering system architecture integration testing troubleshooting technical documentation configuration management, strategic hr planning employee relations talent management hr policy development leadership skills, server-side programming (e.g., sql, node.js, python) database management (e.g., mongodb), sustainability practices environmental management systems green certifications, nursing management patient care coordination staff supervision compliance with healthcare regulations quality improvement leadership skills, teaching pedagogy classroom management curriculum development student assessment differentiated instruction, brand strategy brand development creative direction brand management market research, construction management structural design autocad proficiency project management site inspection, construction management budgeting contract negotiation safety regulations, google ads management ppc campaign optimization keyword research ad copywriting a/b testing conversion tracking"
UI Developer,user experience (ux) design user interface (ui) design wireframing and prototyping usability testing design tools like sketch or figma
Tax Consultant,tax law knowledge individual tax planning tax return preparation tax deductions and credits tax compliance irs regulations client relationship management communication skills attention to detail tax software proficiency
Software Engineer,"proficiency in one or more backend programming languages (e.g., java, python, node.js, ruby) api development database management (sql or nosql) server management and deployment security best practices knowledge of web frameworks (e.g., express, django)"
